Facility,WWTP,Date,Lab,Target_Name,Copies_Per_Liter_WW,Sample_ID,Detection_Limit,Population,Sample_Type,No_of_Hours_Missed,flow 
SIMS BAYOU SOUTH,SIMS BAYOU SOUTH,8/10/2020,R,BCoV_M,542643.0243,R019_052,705,109414,Composite,,18.714
SIMS BAYOU SOUTH,SIMS BAYOU SOUTH,8/10/2020,R,BCoV_M,273709.2605,R019_051,705,109414,Composite,,18.714
SIMS BAYOU SOUTH,SIMS BAYOU SOUTH,8/10/2020,R,SARS CoV-2 N2,7260,R019_052,330,109414,Composite,,18.714
SIMS BAYOU SOUTH,SIMS BAYOU SOUTH,8/10/2020,R,SARS CoV-2 N1,9460,R019_052,330,109414,Composite,,18.714
SOUTHEAST,SOUTHEAST,8/10/2020,R,SARS CoV-2 N2,5060,R019_053,330,32485,Composite,,3.483
SOUTHEAST,SOUTHEAST,8/10/2020,R,SARS CoV-2 N1,5500,R019_053,330,32485,Composite,,3.483
SOUTHEAST,SOUTHEAST,8/10/2020,R,BCoV_M,926023.8844,R019_053,705,32485,Composite,,3.483
SOUTHEAST,SOUTHEAST,8/10/2020,R,SARS CoV-2 N2,5720,R019_054,330,32485,Composite,,3.483
SOUTHEAST,SOUTHEAST,8/10/2020,R,SARS CoV-2 N1,6600,R019_054,330,32485,Composite,,3.483
SOUTHEAST,SOUTHEAST,8/10/2020,R,BCoV_M,956852.3209,R019_054,705,32485,Composite,,3.483
SOUTHWEST,SOUTHWEST,8/10/2020,R,SARS CoV-2 N1,1320,R019_055,330,293227,Composite,,30.334
SOUTHWEST,SOUTHWEST,8/10/2020,R,BCoV_M,81688.27644,R019_055,705,293227,Composite,,30.334
SOUTHWEST,SOUTHWEST,8/10/2020,R,SARS CoV-2 N2,2420,R019_056,330,293227,Composite,,30.334
SOUTHWEST,SOUTHWEST,8/10/2020,R,SARS CoV-2 N1,2860,R019_056,330,293227,Composite,,30.334
SOUTHWEST,SOUTHWEST,8/10/2020,R,BCoV_M,88087.82894,R019_056,705,293227,Composite,,30.334
SOUTHWEST,SOUTHWEST,8/10/2020,R,SARS CoV-2 N2,1320,R019_055,330,293227,Composite,,30.334
TIDWELL TIMBERS,TIDWELL TIMBERS,8/10/2020,R,SARS CoV-2 N1,1430,R019_057,330,1133,Composite,,0.106
TIDWELL TIMBERS,TIDWELL TIMBERS,8/10/2020,R,BCoV_M,234945.628,R019_057,705,1133,Composite,,0.106
TIDWELL TIMBERS,TIDWELL TIMBERS,8/10/2020,R,BCoV_M,253941.1498,R019_058,705,1133,Composite,,0.106
TIDWELL TIMBERS,TIDWELL TIMBERS,8/10/2020,R,SARS CoV-2 N2,13200,R019_058,330,1133,Composite,,0.106
TIDWELL TIMBERS,TIDWELL TIMBERS,8/10/2020,R,SARS CoV-2 N1,18040,R019_058,330,1133,Composite,,0.106
TIDWELL TIMBERS,TIDWELL TIMBERS,8/10/2020,R,SARS CoV-2 N2,2860,R019_057,330,1133,Composite,,0.106
TURKEY CREEK,TURKEY CREEK,8/10/2020,R,SARS CoV-2 N2,13420,R019_059,330,59188,Composite,,5.137
TURKEY CREEK,TURKEY CREEK,8/10/2020,R,SARS CoV-2 N1,23980,R019_059,330,59188,Composite,,5.137
TURKEY CREEK,TURKEY CREEK,8/10/2020,R,BCoV_M,459815.366,R019_059,705,59188,Composite,,5.137
TURKEY CREEK,TURKEY CREEK,8/10/2020,R,SARS CoV-2 N2,9900,R019_060,330,59188,Composite,,5.137
TURKEY CREEK,TURKEY CREEK,8/10/2020,R,SARS CoV-2 N1,11880,R019_060,330,59188,Composite,,5.137
TURKEY CREEK,TURKEY CREEK,8/10/2020,R,BCoV_M,468990.1566,R019_060,705,59188,Composite,,5.137
UPPER BRAYS,UPPER BRAYS,8/10/2020,R,SARS CoV-2 N1,5280,R019_061,330,97918,Composite,,8.213
UPPER BRAYS,UPPER BRAYS,8/10/2020,R,BCoV_M,338971.1196,R019_061,705,97918,Composite,,8.213
UPPER BRAYS,UPPER BRAYS,8/10/2020,R,SARS CoV-2 N2,5500,R019_062,330,97918,Composite,,8.213
UPPER BRAYS,UPPER BRAYS,8/10/2020,R,BCoV_M,325385.2283,R019_062,705,97918,Composite,,8.213
UPPER BRAYS,UPPER BRAYS,8/10/2020,R,SARS CoV-2 N1,5720,R019_062,330,97918,Composite,,8.213
UPPER BRAYS,UPPER BRAYS,8/10/2020,R,SARS CoV-2 N2,2860,R019_061,330,97918,Composite,,8.213
WCID#111,WCID#111,8/10/2020,R,SARS CoV-2 N1,34980,R019_063,330,20920,Composite,,2.206
WCID#111,WCID#111,8/10/2020,R,SARS CoV-2 N2,25960,R019_063,330,20920,Composite,,2.206
WCID#111,WCID#111,8/10/2020,R,BCoV_M,892429.5405,R019_064,705,20920,Composite,,2.206
WCID#111,WCID#111,8/10/2020,R,BCoV_M,961618.51,R019_063,705,20920,Composite,,2.206
WCID#111,WCID#111,8/10/2020,R,SARS CoV-2 N2,24860,R019_064,330,20920,Composite,,2.206
WCID#111,WCID#111,8/10/2020,R,SARS CoV-2 N1,31680,R019_064,330,20920,Composite,,2.206
WCID#47,WCID#47,8/10/2020,R,SARS CoV-2 N1,6380,R019_065,330,33645,Composite,,2.806
WCID#47,WCID#47,8/10/2020,R,BCoV_M,363855.1865,R019_065,705,33645,Composite,,2.806
WCID#47,WCID#47,8/10/2020,R,SARS CoV-2 N2,8360,R019_066,330,33645,Composite,,2.806
WCID#47,WCID#47,8/10/2020,R,SARS CoV-2 N2,6600,R019_065,330,33645,Composite,,2.806
WCID#47,WCID#47,8/10/2020,R,BCoV_M,913188.4948,R019_066,705,33645,Composite,,2.806
WCID#47,WCID#47,8/10/2020,R,SARS CoV-2 N1,8140,R019_066,330,33645,Composite,,2.806
WCID#76,WCID#76,8/10/2020,R,SARS CoV-2 N2,6380,R019_067,330,976,Composite,,0.295
WCID#76,WCID#76,8/10/2020,R,SARS CoV-2 N1,9020,R019_067,330,976,Composite,,0.295
WCID#76,WCID#76,8/10/2020,R,BCoV_M,525312.7023,R019_067,705,976,Composite,,0.295
WCID#76,WCID#76,8/10/2020,R,SARS CoV-2 N2,9680,R019_068,330,976,Composite,,0.295
WCID#76,WCID#76,8/10/2020,R,SARS CoV-2 N1,7920,R019_068,330,976,Composite,,0.295
WCID#76,WCID#76,8/10/2020,R,BCoV_M,569207.3068,R019_068,705,976,Composite,,0.295
WEST DISTRICT,WEST DISTRICT,8/10/2020,R,SARS CoV-2 N1,1980,R019_069,330,85129,Composite,,9.126
WEST DISTRICT,WEST DISTRICT,8/10/2020,R,BCoV_M,116787.5286,R019_069,705,85129,Composite,,9.126
WEST DISTRICT,WEST DISTRICT,8/10/2020,R,BCoV_M,67173.42753,R019_070,705,85129,Composite,,9.126
WEST DISTRICT,WEST DISTRICT,8/10/2020,R,SARS CoV-2 N2,594,R019_070,330,85129,Composite,,9.126
WEST DISTRICT,WEST DISTRICT,8/10/2020,R,SARS CoV-2 N1,594,R019_070,330,85129,Composite,,9.126
WEST DISTRICT,WEST DISTRICT,8/10/2020,R,SARS CoV-2 N2,2420,R019_069,330,85129,Composite,,9.126
WESTWAY,WESTWAY,8/10/2020,R,SARS CoV-2 N1,9020,R019_071,330,3623,Composite,,0.23
WESTWAY,WESTWAY,8/10/2020,R,BCoV_M,197079.9238,R019_071,705,3623,Composite,,0.23
WESTWAY,WESTWAY,8/10/2020,R,SARS CoV-2 N2,4840,R019_072,330,3623,Composite,,0.23
WESTWAY,WESTWAY,8/10/2020,R,SARS CoV-2 N1,5060,R019_072,330,3623,Composite,,0.23
WESTWAY,WESTWAY,8/10/2020,R,SARS CoV-2 N2,9680,R019_071,330,3623,Composite,,0.23
WESTWAY,WESTWAY,8/10/2020,R,BCoV_M,171053.9919,R019_072,705,3623,Composite,,0.23
WHITE OAK,WHITE OAK,8/10/2020,R,SARS CoV-2 N1,21560,R019_073,330,20758,Composite,,1.879
WHITE OAK,WHITE OAK,8/10/2020,R,BCoV_M,456087.4412,R019_073,705,20758,Composite,,1.879
WHITE OAK,WHITE OAK,8/10/2020,R,SARS CoV-2 N2,12540,R019_074,330,20758,Composite,,1.879
WHITE OAK,WHITE OAK,8/10/2020,R,BCoV_M,210511.1905,R019_074,705,20758,Composite,,1.879
WHITE OAK,WHITE OAK,8/10/2020,R,SARS CoV-2 N1,9240,R019_074,330,20758,Composite,,1.879
WHITE OAK,WHITE OAK,8/10/2020,R,SARS CoV-2 N2,15400,R019_073,330,20758,Composite,,1.879
WILLOWBROOK,WILLOWBROOK,8/10/2020,R,SARS CoV-2 N1,14300,R019_075,330,8610,Composite,,1.238
WILLOWBROOK,WILLOWBROOK,8/10/2020,R,BCoV_M,178505.1952,R019_076,705,8610,Composite,,1.238
WILLOWBROOK,WILLOWBROOK,8/10/2020,R,BCoV_M,177739.5768,R019_075,705,8610,Composite,,1.238
WILLOWBROOK,WILLOWBROOK,8/10/2020,R,SARS CoV-2 N2,8140,R019_076,330,8610,Composite,,1.238
WILLOWBROOK,WILLOWBROOK,8/10/2020,R,SARS CoV-2 N1,17820,R019_076,330,8610,Composite,,1.238
WILLOWBROOK,WILLOWBROOK,8/10/2020,R,SARS CoV-2 N2,11880,R019_075,330,8610,Composite,,1.238
69TH STREET,69TH STREET,8/17/2020,R,SARS CoV-2 N2,4180,R020_112,330,551150,Composite,,94
69TH STREET,69TH STREET,8/17/2020,R,SARS CoV-2 N1,6380,R020_112,330,551150,Composite,,94
69TH STREET,69TH STREET,8/17/2020,R,BCoV_M,332888.5496,R020_112,705,551150,Composite,,94
69TH STREET,69TH STREET,8/17/2020,R,SARS CoV-2 N2,1012,R020_113,330,551150,Composite,,94
69TH STREET,69TH STREET,8/17/2020,R,SARS CoV-2 N1,4620,R020_113,330,551150,Composite,,94
69TH STREET,69TH STREET,8/17/2020,R,BCoV_M,200775.3393,R020_113,705,551150,Composite,,94
ALMEDA SIMS,ALMEDA SIMS,8/17/2020,R,SARS CoV-2 N2,2200,R020_114,330,117968,Composite,,18.908
ALMEDA SIMS,ALMEDA SIMS,8/17/2020,R,SARS CoV-2 N1,1144,R020_114,330,117968,Composite,,18.908
ALMEDA SIMS,ALMEDA SIMS,8/17/2020,R,BCoV_M,258304.0232,R020_115,705,117968,Composite,,18.908
ALMEDA SIMS,ALMEDA SIMS,8/17/2020,R,BCoV_M,192713.287,R020_114,705,117968,Composite,,18.908
ALMEDA SIMS,ALMEDA SIMS,8/17/2020,R,SARS CoV-2 N2,1540,R020_115,330,117968,Composite,,18.908
ALMEDA SIMS,ALMEDA SIMS,8/17/2020,R,SARS CoV-2 N1,2200,R020_115,330,117968,Composite,,18.908
BELTWAY,BELTWAY,8/17/2020,R,SARS CoV-2 N2,5060,R020_116,330,70900,Composite,,5.583
BELTWAY,BELTWAY,8/17/2020,R,SARS CoV-2 N1,4620,R020_116,330,70900,Composite,,5.583
BELTWAY,BELTWAY,8/17/2020,R,BCoV_M,541982.9893,R020_116,705,70900,Composite,,5.583
BELTWAY,BELTWAY,8/17/2020,R,SARS CoV-2 N2,1056,R020_117,330,70900,Composite,,5.583
BELTWAY,BELTWAY,8/17/2020,R,SARS CoV-2 N1,6380,R020_117,330,70900,Composite,,5.583
BELTWAY,BELTWAY,8/17/2020,R,BCoV_M,592836.2379,R020_117,705,70900,Composite,,5.583
CHOCOLATE BAYOU,CHOCOLATE BAYOU,8/17/2020,R,SARS CoV-2 N2,2200,R020_118,330,37359,Composite,,4.152
CHOCOLATE BAYOU,CHOCOLATE BAYOU,8/17/2020,R,SARS CoV-2 N1,1980,R020_118,330,37359,Composite,,4.152
CHOCOLATE BAYOU,CHOCOLATE BAYOU,8/17/2020,R,BCoV_M,237945.3584,R020_118,705,37359,Composite,,4.152
CHOCOLATE BAYOU,CHOCOLATE BAYOU,8/17/2020,R,SARS CoV-2 N1,4400,R020_119,330,37359,Composite,,4.152
CHOCOLATE BAYOU,CHOCOLATE BAYOU,8/17/2020,R,BCoV_M,269019.7096,R020_119,705,37359,Composite,,4.152
CHOCOLATE BAYOU,CHOCOLATE BAYOU,8/17/2020,R,SARS CoV-2 N2,1980,R020_119,330,37359,Composite,,4.152
CLINTON PARK,CLINTON PARK,8/17/2020,R,SARS CoV-2 N2,550,R020_120,330,3825,Composite,,0.946
CLINTON PARK,CLINTON PARK,8/17/2020,R,SARS CoV-2 N1,264,R020_120,330,3825,Composite,,0.946
CLINTON PARK,CLINTON PARK,8/17/2020,R,BCoV_M,40190.22997,R020_120,705,3825,Composite,,0.946
CLINTON PARK,CLINTON PARK,8/17/2020,R,SARS CoV-2 N2,242,R020_121,330,3825,Composite,,0.946
CLINTON PARK,CLINTON PARK,8/17/2020,R,SARS CoV-2 N1,462,R020_121,330,3825,Composite,,0.946
CLINTON PARK,CLINTON PARK,8/17/2020,R,BCoV_M,62263.34027,R020_121,705,3825,Composite,,0.946
EASTHAVEN,EASTHAVEN,8/17/2020,R,SARS CoV-2 N2,1760,R020_123,330,16030,Composite,,1.949
EASTHAVEN,EASTHAVEN,8/17/2020,R,SARS CoV-2 N2,1100,R020_122,330,16030,Composite,,1.949
EASTHAVEN,EASTHAVEN,8/17/2020,R,SARS CoV-2 N1,1980,R020_122,330,16030,Composite,,1.949
EASTHAVEN,EASTHAVEN,8/17/2020,R,BCoV_M,350527.4909,R020_122,705,16030,Composite,,1.949
EASTHAVEN,EASTHAVEN,8/17/2020,R,SARS CoV-2 N1,1760,R020_123,330,16030,Composite,,1.949
EASTHAVEN,EASTHAVEN,8/17/2020,R,BCoV_M,465538.3144,R020_123,705,16030,Composite,,1.949
FOREST COVE,FOREST COVE,8/17/2020,R,SARS CoV-2 N1,2860,R020_126,330,4170,Composite,,0.251
FOREST COVE,FOREST COVE,8/17/2020,R,BCoV_M,451074.4288,R020_126,705,4170,Composite,,0.251
FOREST COVE,FOREST COVE,8/17/2020,R,SARS CoV-2 N2,3080,R020_127,330,4170,Composite,,0.251
FOREST COVE,FOREST COVE,8/17/2020,R,BCoV_M,841195.8581,R020_127,705,4170,Composite,,0.251
FOREST COVE,FOREST COVE,8/17/2020,R,SARS CoV-2 N1,3960,R020_127,330,4170,Composite,,0.251
FOREST COVE,FOREST COVE,8/17/2020,R,SARS CoV-2 N2,4180,R020_126,330,4170,Composite,,0.251
FWSD#23,FWSD#23,8/17/2020,R,SARS CoV-2 N2,2640,R020_124,330,40689,Composite,,3.879
FWSD#23,FWSD#23,8/17/2020,R,SARS CoV-2 N1,2420,R020_124,330,40689,Composite,,3.879
FWSD#23,FWSD#23,8/17/2020,R,BCoV_M,50989.12912,R020_124,705,40689,Composite,,3.879
FWSD#23,FWSD#23,8/17/2020,R,SARS CoV-2 N2,2200,R020_125,330,40689,Composite,,3.879
FWSD#23,FWSD#23,8/17/2020,R,SARS CoV-2 N1,2200,R020_125,330,40689,Composite,,3.879
FWSD#23,FWSD#23,8/17/2020,R,BCoV_M,191258.6189,R020_125,705,40689,Composite,,3.879
GREENRIDGE,GREENRIDGE,8/17/2020,R,SARS CoV-2 N2,9460,R020_128,330,28742,Composite,,2.916
GREENRIDGE,GREENRIDGE,8/17/2020,R,SARS CoV-2 N1,9460,R020_128,330,28742,Composite,,2.916
GREENRIDGE,GREENRIDGE,8/17/2020,R,BCoV_M,761803.678,R020_128,705,28742,Composite,,2.916
GREENRIDGE,GREENRIDGE,8/17/2020,R,SARS CoV-2 N2,4620,R020_129,330,28742,Composite,,2.916
GREENRIDGE,GREENRIDGE,8/17/2020,R,SARS CoV-2 N1,9680,R020_129,330,28742,Composite,,2.916
GREENRIDGE,GREENRIDGE,8/17/2020,R,BCoV_M,406097.6397,R020_129,705,28742,Composite,,2.916
HOMESTEAD,HOMESTEAD,8/17/2020,R,SARS CoV-2 N2,11440,R020_130,330,9375,Composite,,1.62
HOMESTEAD,HOMESTEAD,8/17/2020,R,SARS CoV-2 N1,11880,R020_130,330,9375,Composite,,1.62
HOMESTEAD,HOMESTEAD,8/17/2020,R,BCoV_M,293366.3139,R020_130,705,9375,Composite,,1.62
HOMESTEAD,HOMESTEAD,8/17/2020,R,SARS CoV-2 N1,14960,R020_131,330,9375,Composite,,1.62
HOMESTEAD,HOMESTEAD,8/17/2020,R,BCoV_M,385384.1437,R020_131,705,9375,Composite,,1.62
HOMESTEAD,HOMESTEAD,8/17/2020,R,SARS CoV-2 N2,12320,R020_131,330,9375,Composite,,1.62
IMPERIAL VALLEY,IMPERIAL VALLEY,8/17/2020,R,SARS CoV-2 N2,5500,R020_132,330,16804,Composite,,1.707
IMPERIAL VALLEY,IMPERIAL VALLEY,8/17/2020,R,SARS CoV-2 N1,5720,R020_133,330,16804,Composite,,1.707
IMPERIAL VALLEY,IMPERIAL VALLEY,8/17/2020,R,SARS CoV-2 N1,9900,R020_132,330,16804,Composite,,1.707
IMPERIAL VALLEY,IMPERIAL VALLEY,8/17/2020,R,BCoV_M,353951.6485,R020_132,705,16804,Composite,,1.707
IMPERIAL VALLEY,IMPERIAL VALLEY,8/17/2020,R,SARS CoV-2 N2,6600,R020_133,330,16804,Composite,,1.707
IMPERIAL VALLEY,IMPERIAL VALLEY,8/17/2020,R,BCoV_M,268163.4015,R020_133,705,16804,Composite,,1.707
INTERCONTINENTAL AIRPORT,INTERCONTINENTAL AIRPORT,8/17/2020,R,SARS CoV-2 N2,2200,R020_134,330,2408,Composite,,1.587
INTERCONTINENTAL AIRPORT,INTERCONTINENTAL AIRPORT,8/17/2020,R,SARS CoV-2 N1,3080,R020_134,330,2408,Composite,,1.587
INTERCONTINENTAL AIRPORT,INTERCONTINENTAL AIRPORT,8/17/2020,R,BCoV_M,292880.4157,R020_134,705,2408,Composite,,1.587
INTERCONTINENTAL AIRPORT,INTERCONTINENTAL AIRPORT,8/17/2020,R,SARS CoV-2 N2,2640,R020_135,330,2408,Composite,,1.587
INTERCONTINENTAL AIRPORT,INTERCONTINENTAL AIRPORT,8/17/2020,R,SARS CoV-2 N1,3080,R020_135,330,2408,Composite,,1.587
INTERCONTINENTAL AIRPORT,INTERCONTINENTAL AIRPORT,8/17/2020,R,BCoV_M,265008.191,R020_135,705,2408,Composite,,1.587
KEEGANS BAYOU,KEEGANS BAYOU,8/17/2020,R,SARS CoV-2 N2,4840,R020_136,330,124000,Composite,,10.615
KEEGANS BAYOU,KEEGANS BAYOU,8/17/2020,R,SARS CoV-2 N1,8140,R020_136,330,124000,Composite,,10.615
KEEGANS BAYOU,KEEGANS BAYOU,8/17/2020,R,SARS CoV-2 N1,7920,R020_137,330,124000,Composite,,10.615
KEEGANS BAYOU,KEEGANS BAYOU,8/17/2020,R,BCoV_M,174315.0335,R020_137,705,124000,Composite,,10.615
KEEGANS BAYOU,KEEGANS BAYOU,8/17/2020,R,BCoV_M,399285.5936,R020_136,705,124000,Composite,,10.615
KEEGANS BAYOU,KEEGANS BAYOU,8/17/2020,R,SARS CoV-2 N2,7920,R020_137,330,124000,Composite,,10.615
KINGWOOD CENTRAL,KINGWOOD CENTRAL,8/17/2020,R,SARS CoV-2 N2,5500,R020_138,330,52055,Composite,,1.506
KINGWOOD CENTRAL,KINGWOOD CENTRAL,8/17/2020,R,SARS CoV-2 N1,6160,R020_138,330,52055,Composite,,1.506
KINGWOOD CENTRAL,KINGWOOD CENTRAL,8/17/2020,R,BCoV_M,296028.0278,R020_138,705,52055,Composite,,1.506
KINGWOOD CENTRAL,KINGWOOD CENTRAL,8/17/2020,R,SARS CoV-2 N2,2640,R020_139,330,52055,Composite,,1.506
KINGWOOD CENTRAL,KINGWOOD CENTRAL,8/17/2020,R,SARS CoV-2 N1,5720,R020_139,330,52055,Composite,,1.506
KINGWOOD CENTRAL,KINGWOOD CENTRAL,8/17/2020,R,BCoV_M,305512.6071,R020_139,705,52055,Composite,,1.506
KINGWOOD WEST,KINGWOOD WEST,8/17/2020,R,SARS CoV-2 N2,1760,R020_140,330,2589,Composite,,0.588
KINGWOOD WEST,KINGWOOD WEST,8/17/2020,R,SARS CoV-2 N1,1320,R020_140,330,2589,Composite,,0.588
KINGWOOD WEST,KINGWOOD WEST,8/17/2020,R,BCoV_M,196939.4883,R020_140,705,2589,Composite,,0.588
KINGWOOD WEST,KINGWOOD WEST,8/17/2020,R,SARS CoV-2 N2,1012,R020_141,330,2589,Composite,,0.588
KINGWOOD WEST,KINGWOOD WEST,8/17/2020,R,BCoV_M,299187.7882,R020_141,705,2589,Composite,,0.588
KINGWOOD WEST,KINGWOOD WEST,8/17/2020,R,SARS CoV-2 N1,3520,R020_141,330,2589,Composite,,0.588
METRO CENTRAL,METRO CENTRAL,8/17/2020,R,BCoV_M,612838.1899,R020_144,705,20161,Composite,,1.573
METRO CENTRAL,METRO CENTRAL,8/17/2020,R,SARS CoV-2 N2,11660,R020_145,330,20161,Composite,,1.573
METRO CENTRAL,METRO CENTRAL,8/17/2020,R,SARS CoV-2 N1,14300,R020_145,330,20161,Composite,,1.573
METRO CENTRAL,METRO CENTRAL,8/17/2020,R,SARS CoV-2 N1,7920,R020_144,330,20161,Composite,,1.573
METRO CENTRAL,METRO CENTRAL,8/17/2020,R,SARS CoV-2 N2,3080,R020_144,330,20161,Composite,,1.573
METRO CENTRAL,METRO CENTRAL,8/17/2020,R,BCoV_M,774393.8704,R020_145,705,20161,Composite,,1.573
MUD#203,MUD#203,8/17/2020,R,SARS CoV-2 N2,2860,R020_142,330,4010,Composite,,0.31
MUD#203,MUD#203,8/17/2020,R,SARS CoV-2 N1,3960,R020_142,330,4010,Composite,,0.31
MUD#203,MUD#203,8/17/2020,R,SARS CoV-2 N2,1760,R020_143,330,4010,Composite,,0.31
MUD#203,MUD#203,8/17/2020,R,SARS CoV-2 N1,2860,R020_143,330,4010,Composite,,0.31
MUD#203,MUD#203,8/17/2020,R,BCoV_M,229623.0661,R020_143,705,4010,Composite,,0.31
MUD#203,MUD#203,8/17/2020,R,BCoV_M,348593.7494,R020_142,705,4010,Composite,,0.31
NORTHBELT,NORTHBELT,8/17/2020,R,SARS CoV-2 N2,7480,R020_146,330,12892,Composite,,2.001
NORTHBELT,NORTHBELT,8/17/2020,R,SARS CoV-2 N1,7920,R020_146,330,12892,Composite,,2.001
NORTHBELT,NORTHBELT,8/17/2020,R,BCoV_M,334124.4236,R020_146,705,12892,Composite,,2.001
NORTHBELT,NORTHBELT,8/17/2020,R,SARS CoV-2 N2,7700,R020_147,330,12892,Composite,,2.001
NORTHBELT,NORTHBELT,8/17/2020,R,SARS CoV-2 N1,7700,R020_147,330,12892,Composite,,2.001
NORTHBELT,NORTHBELT,8/17/2020,R,BCoV_M,315521.212,R020_147,705,12892,Composite,,2.001
NORTHEAST,NORTHEAST,8/17/2020,R,SARS CoV-2 N2,0,R020_148,330,33102,Composite,,3.36
NORTHEAST,NORTHEAST,8/17/2020,R,SARS CoV-2 N1,770,R020_148,330,33102,Composite,,3.36
NORTHEAST,NORTHEAST,8/17/2020,R,BCoV_M,0,R020_148,705,33102,Composite,,3.36
NORTHEAST,NORTHEAST,8/17/2020,R,SARS CoV-2 N2,8140,R020_149,330,33102,Composite,,3.36
NORTHEAST,NORTHEAST,8/17/2020,R,SARS CoV-2 N1,6380,R020_149,330,33102,Composite,,3.36
NORTHEAST,NORTHEAST,8/17/2020,R,BCoV_M,490951.7854,R020_149,705,33102,Composite,,3.36
NORTHGATE,NORTHGATE,8/17/2020,R,SARS CoV-2 N2,1980,R020_151,330,19867,Composite,,3.061
NORTHGATE,NORTHGATE,8/17/2020,R,SARS CoV-2 N2,3740,R020_150,330,19867,Composite,,3.061
NORTHGATE,NORTHGATE,8/17/2020,R,SARS CoV-2 N1,4620,R020_150,330,19867,Composite,,3.061
NORTHGATE,NORTHGATE,8/17/2020,R,BCoV_M,255429.4473,R020_150,705,19867,Composite,,3.061
NORTHGATE,NORTHGATE,8/17/2020,R,SARS CoV-2 N1,1760,R020_151,330,19867,Composite,,3.061
NORTHGATE,NORTHGATE,8/17/2020,R,BCoV_M,120328.034,R020_151,705,19867,Composite,,3.061
NORTHWEST,NORTHWEST,8/17/2020,R,SARS CoV-2 N2,5280,R020_152,330,95600,Composite,,9.41
NORTHWEST,NORTHWEST,8/17/2020,R,SARS CoV-2 N1,9240,R020_152,330,95600,Composite,,9.41
NORTHWEST,NORTHWEST,8/17/2020,R,BCoV_M,266087.2571,R020_152,705,95600,Composite,,9.41
NORTHWEST,NORTHWEST,8/17/2020,R,SARS CoV-2 N2,3740,R020_153,330,95600,Composite,,9.41
NORTHWEST,NORTHWEST,8/17/2020,R,SARS CoV-2 N1,4620,R020_153,330,95600,Composite,,9.41
NORTHWEST,NORTHWEST,8/17/2020,R,BCoV_M,285306.5521,R020_153,705,95600,Composite,,9.41
PARK TEN,PARK TEN,8/17/2020,R,SARS CoV-2 N2,4180,R020_154,330,5497,Composite,,0.529
PARK TEN,PARK TEN,8/17/2020,R,SARS CoV-2 N1,5060,R020_154,330,5497,Composite,,0.529
PARK TEN,PARK TEN,8/17/2020,R,BCoV_M,148273.9238,R020_154,705,5497,Composite,,0.529
PARK TEN,PARK TEN,8/17/2020,R,BCoV_M,288317.2773,R020_155,705,5497,Composite,,0.529
PARK TEN,PARK TEN,8/17/2020,R,SARS CoV-2 N2,5060,R020_155,330,5497,Composite,,0.529
PARK TEN,PARK TEN,8/17/2020,R,SARS CoV-2 N1,8360,R020_155,330,5497,Composite,,0.529
SAGEMONT,SAGEMONT,8/17/2020,R,SARS CoV-2 N2,858,R020_156,330,20608,Composite,,4.387
SAGEMONT,SAGEMONT,8/17/2020,R,SARS CoV-2 N1,1540,R020_156,330,20608,Composite,,4.387
SAGEMONT,SAGEMONT,8/17/2020,R,BCoV_M,95929.77179,R020_156,705,20608,Composite,,4.387
SAGEMONT,SAGEMONT,8/17/2020,R,SARS CoV-2 N2,1760,R020_157,330,20608,Composite,,4.387
SAGEMONT,SAGEMONT,8/17/2020,R,SARS CoV-2 N1,2200,R020_157,330,20608,Composite,,4.387
SAGEMONT,SAGEMONT,8/17/2020,R,BCoV_M,103229.8964,R020_157,705,20608,Composite,,4.387
SIMS BAYOU NORTH,SIMS BAYOU NORTH,8/17/2020,R,SARS CoV-2 N2,5280,R020_158,330,109414,Composite,,9.07
SIMS BAYOU NORTH,SIMS BAYOU NORTH,8/17/2020,R,SARS CoV-2 N1,2860,R020_158,330,109414,Composite,,9.07
SIMS BAYOU NORTH,SIMS BAYOU NORTH,8/17/2020,R,BCoV_M,181529.8112,R020_158,705,109414,Composite,,9.07
SIMS BAYOU NORTH,SIMS BAYOU NORTH,8/17/2020,R,SARS CoV-2 N2,2420,R020_159,330,109414,Composite,,9.07
SIMS BAYOU NORTH,SIMS BAYOU NORTH,8/17/2020,R,SARS CoV-2 N1,2860,R020_159,330,109414,Composite,,9.07
SIMS BAYOU NORTH,SIMS BAYOU NORTH,8/17/2020,R,BCoV_M,170076.1499,R020_159,705,109414,Composite,,9.07
SIMS BAYOU SOUTH,SIMS BAYOU SOUTH,8/17/2020,R,SARS CoV-2 N2,1540,R020_160,330,109414,Composite,,27.743
SIMS BAYOU SOUTH,SIMS BAYOU SOUTH,8/17/2020,R,SARS CoV-2 N1,3520,R020_160,330,109414,Composite,,27.743
SIMS BAYOU SOUTH,SIMS BAYOU SOUTH,8/17/2020,R,BCoV_M,61441.82841,R020_160,705,109414,Composite,,27.743
SIMS BAYOU SOUTH,SIMS BAYOU SOUTH,8/17/2020,R,SARS CoV-2 N2,1980,R020_161,330,109414,Composite,,27.743
SIMS BAYOU SOUTH,SIMS BAYOU SOUTH,8/17/2020,R,SARS CoV-2 N1,3300,R020_161,330,109414,Composite,,27.743
SIMS BAYOU SOUTH,SIMS BAYOU SOUTH,8/17/2020,R,BCoV_M,127300.3949,R020_161,705,109414,Composite,,27.743
