Facility,WWTP,Date,Lab,Target_Name,Copies_Per_Liter_WW,Sample_ID,Detection_Limit,Population,Sample_Type,No_of_Hours_Missed,flow
METRO CENTRAL,METRO CENTRAL,6/22/2020,R,SARS CoV-2 N1,11086.95652,R008_050,330,20161,Composite,,2.658
METRO CENTRAL,METRO CENTRAL,6/22/2020,R,SARS CoV-2 N2,13260.86957,R008_051,330,20161,Composite,,2.658
MUD#203,MUD#203,6/22/2020,R,SARS CoV-2 N1,5434.782609,R008_054,330,4010,Composite,,0.427
MUD#203,MUD#203,6/22/2020,R,SARS CoV-2 N2,5000,R008_054,330,4010,Composite,,0.427
MUD#203,MUD#203,6/22/2020,R,SARS CoV-2 N2,5869.565217,R008_053,330,4010,Composite,,0.427
MUD#203,MUD#203,6/22/2020,R,SARS CoV-2 N1,6739.130435,R008_053,330,4010,Composite,,0.427
NORTHBELT,NORTHBELT,6/22/2020,R,SARS CoV-2 N1,18695.65217,R008_056,330,12892,Composite,,3.192
NORTHBELT,NORTHBELT,6/22/2020,R,SARS CoV-2 N2,15217.3913,R008_057,330,12892,Composite,,3.192
NORTHBELT,NORTHBELT,6/22/2020,R,SARS CoV-2 N2,18478.26087,R008_056,330,12892,Composite,,3.192
NORTHBELT,NORTHBELT,6/22/2020,R,SARS CoV-2 N1,16521.73913,R008_057,330,12892,Composite,,3.192
NORTHEAST,NORTHEAST,6/22/2020,R,SARS CoV-2 N2,10869.56522,R008_060,330,33102,Composite,,12.33
NORTHEAST,NORTHEAST,6/22/2020,R,SARS CoV-2 N2,13043.47826,R008_059,330,33102,Composite,,12.33
NORTHEAST,NORTHEAST,6/22/2020,R,SARS CoV-2 N1,13478.26087,R008_059,330,33102,Composite,,12.33
NORTHEAST,NORTHEAST,6/22/2020,R,SARS CoV-2 N1,14782.6087,R008_060,330,33102,Composite,,12.33
NORTHGATE,NORTHGATE,6/22/2020,R,SARS CoV-2 N2,12173.91304,R008_063,330,19867,Composite,,2.99
NORTHGATE,NORTHGATE,6/22/2020,R,SARS CoV-2 N1,14565.21739,R008_063,330,19867,Composite,,2.99
NORTHWEST,NORTHWEST,6/22/2020,R,SARS CoV-2 N2,50869.56522,R008_066,330,95600,Composite,,18.41
NORTHWEST,NORTHWEST,6/22/2020,R,SARS CoV-2 N1,55652.17391,R008_066,330,95600,Composite,,18.41
PARK TEN,PARK TEN,6/22/2020,R,SARS CoV-2 N1,21956.52174,R008_069,330,5497,Composite,,0.645
PARK TEN,PARK TEN,6/22/2020,R,SARS CoV-2 N2,15434.78261,R008_068,330,5497,Composite,,0.645
PARK TEN,PARK TEN,6/22/2020,R,SARS CoV-2 N1,20652.17391,R008_068,330,5497,Composite,,0.645
PARK TEN,PARK TEN,6/22/2020,R,SARS CoV-2 N2,18913.04348,R008_069,330,5497,Composite,,0.645
SAGEMONT,SAGEMONT,6/22/2020,R,SARS CoV-2 N1,15869.56522,R008_072,330,20608,Composite,,7.868
SAGEMONT,SAGEMONT,6/22/2020,R,SARS CoV-2 N1,16086.95652,R008_071,330,20608,Composite,,7.868
SAGEMONT,SAGEMONT,6/22/2020,R,SARS CoV-2 N2,13260.86957,R008_072,330,20608,Composite,,7.868
SAGEMONT,SAGEMONT,6/22/2020,R,SARS CoV-2 N2,13260.86957,R008_071,330,20608,Composite,,7.868
SIMS BAYOU NORTH,SIMS BAYOU NORTH,6/22/2020,R,SARS CoV-2 N2,10434.78261,R008_075,330,109414,Composite,,18.59
SIMS BAYOU NORTH,SIMS BAYOU NORTH,6/22/2020,R,SARS CoV-2 N1,11304.34783,R008_075,330,109414,Composite,,18.59
SIMS BAYOU SOUTH,SIMS BAYOU SOUTH,6/22/2020,R,SARS CoV-2 N1,8695.652174,R008_078,330,109414,Composite,,40.319
SIMS BAYOU SOUTH,SIMS BAYOU SOUTH,6/22/2020,R,SARS CoV-2 N2,9130.434783,R008_078,330,109414,Composite,,40.319
SOUTHEAST,SOUTHEAST,6/22/2020,R,SARS CoV-2 N1,11521.73913,R008_080,330,32485,Composite,,11.624
SOUTHEAST,SOUTHEAST,6/22/2020,R,SARS CoV-2 N2,7391.304348,R008_081,330,32485,Composite,,11.624
SOUTHEAST,SOUTHEAST,6/22/2020,R,SARS CoV-2 N2,8695.652174,R008_080,330,32485,Composite,,11.624
SOUTHEAST,SOUTHEAST,6/22/2020,R,SARS CoV-2 N1,10652.17391,R008_081,330,32485,Composite,,11.624
SOUTHWEST,SOUTHWEST,6/22/2020,R,SARS CoV-2 N1,13913.04348,R008_084,330,293227,Composite,,47.466
SOUTHWEST,SOUTHWEST,6/22/2020,R,SARS CoV-2 N2,14782.6087,R008_084,330,293227,Composite,,47.466
TIDWELL TIMBERS,TIDWELL TIMBERS,6/22/2020,R,SARS CoV-2 N2,46956.52174,R008_087,330,1133,Composite,,0.212
TIDWELL TIMBERS,TIDWELL TIMBERS,6/22/2020,R,SARS CoV-2 N1,59782.6087,R008_087,330,1133,Composite,,0.212
TIDWELL TIMBERS,TIDWELL TIMBERS,6/22/2020,R,SARS CoV-2 N2,46304.34783,R008_086,330,1133,Composite,,0.212
TIDWELL TIMBERS,TIDWELL TIMBERS,6/22/2020,R,SARS CoV-2 N1,81304.34783,R008_086,330,1133,Composite,,0.212
TURKEY CREEK,TURKEY CREEK,6/22/2020,R,SARS CoV-2 N2,9130.434783,R008_090,330,59188,Composite,,6.56
TURKEY CREEK,TURKEY CREEK,6/22/2020,R,SARS CoV-2 N1,10000,R008_090,330,59188,Composite,,6.56
UPPER BRAYS,UPPER BRAYS,6/22/2020,R,SARS CoV-2 N2,2826.086957,R008_093,330,97918,Composite,,10.916
UPPER BRAYS,UPPER BRAYS,6/22/2020,R,SARS CoV-2 N1,2391.304348,R008_093,330,97918,Composite,,10.916
WCID#111,WCID#111,6/22/2020,R,SARS CoV-2 N1,14130.43478,R008_096,330,20920,Composite,,2.46
WCID#111,WCID#111,6/22/2020,R,SARS CoV-2 N2,8913.043478,R008_095,330,20920,Composite,,2.46
WCID#111,WCID#111,6/22/2020,R,SARS CoV-2 N1,8260.869565,R008_095,330,20920,Composite,,2.46
WCID#111,WCID#111,6/22/2020,R,SARS CoV-2 N2,9347.826087,R008_096,330,20920,Composite,,2.46
WCID#47,WCID#47,6/22/2020,R,SARS CoV-2 N2,12826.08696,R008_099,330,33645,Composite,,6.169
WCID#47,WCID#47,6/22/2020,R,SARS CoV-2 N1,12173.91304,R008_099,330,33645,Composite,,6.169
WCID#76,WCID#76,6/22/2020,R,SARS CoV-2 N1,17173.91304,R008_101,330,976,Composite,,1.012
WCID#76,WCID#76,6/22/2020,R,SARS CoV-2 N2,12608.69565,R008_101,330,976,Composite,,1.012
WCID#76,WCID#76,6/22/2020,R,SARS CoV-2 N2,19347.82609,R008_102,330,976,Composite,,1.012
WCID#76,WCID#76,6/22/2020,R,SARS CoV-2 N1,24130.43478,R008_102,330,976,Composite,,1.012
WEST DISTRICT,WEST DISTRICT,6/22/2020,R,SARS CoV-2 N2,4565.217391,R008_105,330,85129,Composite,,12.87
WEST DISTRICT,WEST DISTRICT,6/22/2020,R,SARS CoV-2 N1,8043.478261,R008_105,330,85129,Composite,,12.87
WEST LAKE,WEST LAKE,6/22/2020,R,SARS CoV-2 N2,1956.521739,R008_108,330,600,Composite,,0.204
