CampusID,school_id,X,Y,County_Name,District_Name,District_Type,Instruction,Address,City,State,Zip5,Grade_Range,Grade_Level,Grade_Level_2,Enrollment_as_Oct2019,In_City,school_name,Facility,Facility Type,Symbol
'101912011,HIS101912011,-95.276799,29.710773,HARRIS COUNTY,HOUSTON ISD,INDEPENDENT,REGULAR INSTRUCTIONAL,1601 BROADWAY,HOUSTON,TX,77012,'09-12,High School,High School,1912,Yes,MILBY HIGH SCHOOL,MILBY H S,School,MIL S
'101912354,HIS101912354,-95.491702,29.701814,HARRIS COUNTY,HOUSTON ISD,INDEPENDENT,REGULAR INSTRUCTIONAL,6203 JESSAMINE,HOUSTON,TX,77081,'EE-KG,Elementary,Elementary,355,Yes,MISTRAL EARLY CHILDHOOD CENTER,MISTRAL CENTER FOR EARLY CHILDHOOD,School,MIS C
'101912209,HIS101912209,-95.529213,29.696789,HARRIS COUNTY,HOUSTON ISD,INDEPENDENT,REGULAR INSTRUCTIONAL,8200 CARVEL LN,HOUSTON,TX,77036,'EE-01,Elementary,Elementary,664,Yes,NEFF EARLY LEARNING CENTER,NEFF EARLY LEARNING CTR,School,NECC
'101912394,HIS101912394,-95.530426,29.701383,HARRIS COUNTY,HOUSTON ISD,INDEPENDENT,REGULAR INSTRUCTIONAL,8301 NEFF ST,HOUSTON,TX,77036,'02-05,Elementary,Elementary,783,Yes,NEFF ELEMENTARY SCHOOL,NEFF EL,School,NEE L
'101912477,HIS101912477,-95.259645,29.867076,HARRIS COUNTY,HOUSTON ISD,INDEPENDENT,REGULAR INSTRUCTIONAL,10726 MESA DR,HOUSTON,TX,77078,'09-12,High School,High School,993,Yes,NORTH FOREST HIGH SCHOOL,NORTH FOREST H S,School,NOR S
'101912210,HIS101912210,-95.386775,29.851488,HARRIS COUNTY,HOUSTON ISD,INDEPENDENT,REGULAR INSTRUCTIONAL,821 WITCHER LN,HOUSTON,TX,77076,'EE-05,Elementary,Elementary,560,Yes,NORTHLINE ELEMENTARY SCHOOL,NORTHLINE EL,School,NOR E
'101912214,HIS101912214,-95.273549,29.688488,HARRIS COUNTY,HOUSTON ISD,INDEPENDENT,REGULAR INSTRUCTIONAL,8235 PARK PL BLVD,HOUSTON,TX,77017,'EE-05,Elementary,Elementary,952,Yes,PARK PLACE ELEMENTARY SCHOOL,PARK PLACE EL,School,PAR E
'101912052,HIS101912052,-95.363976,29.869027,HARRIS COUNTY,HOUSTON ISD,INDEPENDENT,REGULAR INSTRUCTIONAL,10702 E HARDY,HOUSTON,TX,77093,'06-08,Middle,Middle,829,Yes,PATRICK HENRY MIDDLE SCHOOL,HENRY MIDDLE,School,HEN M
'101912216,HIS101912216,-95.242261,29.682378,HARRIS COUNTY,HOUSTON ISD,INDEPENDENT,REGULAR INSTRUCTIONAL,5302 ALLENDALE RD,HOUSTON,TX,77017,'EE-05,Elementary,Elementary,933,Yes,PATTERSON DUAL LANGUAGE AND LITERATURE MAGNET,PATTERSON EL,School,PAT E
'101912113,HIS101912113,-95.337749,29.827118,HARRIS COUNTY,HOUSTON ISD,INDEPENDENT,REGULAR INSTRUCTIONAL,7501 CURRY RD,HOUSTON,TX,77093,'EE-05,Elementary,Elementary,464,Yes,RODERICK PAIGE ELEMENTARY,RODERICK R PAIGE EL,School,ROK E
'101912310,HIS101912310,-95.36108,29.847618,HARRIS COUNTY,HOUSTON ISD,INDEPENDENT,REGULAR INSTRUCTIONAL,9400 IRVINGTON,HOUSTON,TX,77076,'09-12,High School,High School,2614,Yes,SAM HOUSTON MATH SCIENCE AND TECHNOLOGY CENTER,HOUSTON MATH SCIENCE AND TECHNOLOGY CTR,School,HOU C
'101912281,HIS101912281,-95.283468,29.70273,HARRIS COUNTY,HOUSTON ISD,INDEPENDENT,REGULAR INSTRUCTIONAL,2700 BERKLEY ST,HOUSTON,TX,77012,'EE-05,Elementary,Elementary,581,Yes,SANCHEZ ELEMENTARY,SANCHEZ EL,School,SAN E
'101912237,HIS101912237,-95.336802,29.871107,HARRIS COUNTY,HOUSTON ISD,INDEPENDENT,REGULAR INSTRUCTIONAL,3021 LITTLE YORK RD,HOUSTON,TX,77093,'EE-05,Elementary,Elementary,684,Yes,SCARBOROUGH ELEMENTARY,SCARBOROUGH EL,School,SCA E
'101912373,HIS101912373,-95.306674,29.678607,HARRIS COUNTY,HOUSTON ISD,INDEPENDENT,REGULAR INSTRUCTIONAL,5905 WALTRIP,HOUSTON,TX,77087,'EE-05,Elementary,Elementary,545,Yes,SEGUIN ELEMENTARY,SEGUIN EL,School,SEG E
'101912081,HIS101912081,-95.53221,29.699604,HARRIS COUNTY,HOUSTON ISD,INDEPENDENT,REGULAR INSTRUCTIONAL,8330 TRIOLA,HOUSTON,TX,77036,'06-12,Elementary/Secondary,High School,1179,Yes,SHARPSTOWN INTERNATIONAL SCHOOL,SHARPSTOWN INTERNATIONAL,School,SHA S
'101912244,HIS101912244,-95.288426,29.710136,HARRIS COUNTY,HOUSTON ISD,INDEPENDENT,REGULAR INSTRUCTIONAL,1800 CORAL ST,HOUSTON,TX,77012,'EE-05,Elementary,Elementary,583,Yes,SOUTHMAYD ELEMENTARY,SOUTHMAYD EL,School,SOU E
'101912372,HIS101912372,-95.476546,29.718491,HARRIS COUNTY,HOUSTON ISD,INDEPENDENT,REGULAR INSTRUCTIONAL,5858 CHIMNEY ROCK,HOUSTON,TX,77081,'EE-05,Elementary,Elementary,959,Yes,SYLVANRODRIGUEZ ELEMENTARY,RODRIGUEZ EL,School,ROZ E
'101912279,HIS101912279,-95.30978,29.740932,HARRIS COUNTY,HOUSTON ISD,INDEPENDENT,REGULAR INSTRUCTIONAL,6501 SHERMAN ST,HOUSTON,TX,77011,'EE-05,Elementary,Elementary,342,Yes,TIJERINA ELEMENTARY,TIJERINA EL,School,TIJ E
