Facility,WWTP,Date,Lab,Target_Name,Received_WW_vol,Filtered_WW_vol,Copies_per_uL_RNA,PoissonConfMax_per_uL_RNA,PoissonConfMin_per_uL_RNA,Copies_Per_Liter_WW,Ct,AcceptedDroplets,PositiveDroplets,Sample_ID,Detection_Limit,Positivity,Sample_Type,Surrogate_virus_input_per.L.WW,Percentage_recovery_BCoV,Comments,Well Position,PoissonConfMax_Per_Liter_WW,PoissonConfMin_Per_Liter_WW
0623/stdCA,stdCA,06/23/21,R,E484wt,,,86.03,93.7,78.37,,,14896,484,0623.stdCA-1,,Positive,Composite,,,,E11,,
0623/stdCA,stdCA,06/23/21,R,L452R,,,,,,,,12112,0,0623.stdCA-2,,,Composite,,,,F11,,
0623/stdCA,stdCA,06/23/21,R,E484Q,,,,,,,,12112,0,0623.stdCA-2,,,Composite,,,,F11,,
0623/stdCA,stdCA,06/23/21,R,L452wt,,,,,,,,12112,0,0623.stdCA-2,,,Composite,,,,F11,,
0623/stdCA,stdCA,06/23/21,R,E484wt,,,,,,,,12112,0,0623.stdCA-2,,,Composite,,,,F11,,
0623/stdIndia,stdIndia,06/23/21,R,L452R,,,41.51,47.07,35.95,,,13489,214,0623.stdIndia-1,,Positive,Composite,,,,A12,,
0623/stdIndia,stdIndia,06/23/21,R,E484Q,,,41.51,47.07,35.95,,,13489,214,0623.stdIndia-1,,Positive,Composite,,,,A12,,
0623/stdIndia,stdIndia,06/23/21,R,L452wt,,,0,0.59,0,,,13489,0,0623.stdIndia-1,,Negative,Composite,,,,A12,,
0623/stdIndia,stdIndia,06/23/21,R,E484wt,,,0,0.59,0,,,13489,0,0623.stdIndia-1,,Negative,Composite,,,,A12,,
0623/stdIndia,stdIndia,06/23/21,R,L452R,,,38.48,43.47,33.5,,,15565,229,0623.stdIndia-2,,Positive,Composite,,,,B12,,
0623/stdIndia,stdIndia,06/23/21,R,E484Q,,,38.48,43.47,33.5,,,15565,229,0623.stdIndia-2,,Positive,Composite,,,,B12,,
0623/stdIndia,stdIndia,06/23/21,R,L452wt,,,0,0.51,0,,,15565,0,0623.stdIndia-2,,Negative,Composite,,,,B12,,
0623/stdIndia,stdIndia,06/23/21,R,E484wt,,,0,0.51,0,,,15565,0,0623.stdIndia-2,,Negative,Composite,,,,B12,,
0623/stdMix,stdMix,06/23/21,R,L452R,,,89.83,96.77,82.9,,,19307,645,0623.stdMix-1,,Positive,Composite,,,,G11,,
0623/stdMix,stdMix,06/23/21,R,E484Q,,,42.58,47.38,37.79,,,19307,303,0623.stdMix-1,,Positive,Composite,,,,G11,,
0623/stdMix,stdMix,06/23/21,R,L452wt,,,43.98,48.86,39.11,,,19307,313,0623.stdMix-1,,Positive,Composite,,,,G11,,
0623/stdMix,stdMix,06/23/21,R,E484wt,,,90.63,97.6,83.68,,,19307,651,0623.stdMix-1,,Positive,Composite,,,,G11,,
0623/stdMix,stdMix,06/23/21,R,L452R,,,86.93,93.9,79.99,,,18520,600,0623.stdMix-2,,Positive,Composite,,,,H11,,
0623/stdMix,stdMix,06/23/21,R,E484Q,,,43.83,48.79,38.87,,,18520,300,0623.stdMix-2,,Positive,Composite,,,,H11,,
0623/stdMix,stdMix,06/23/21,R,L452wt,,,41.22,46.04,36.42,,,18520,282,0623.stdMix-2,,Positive,Composite,,,,H11,,
0623/stdMix,stdMix,06/23/21,R,E484wt,,,84.22,91.08,77.38,,,18520,581,0623.stdMix-2,,Positive,Composite,,,,H11,,
0623/stdWHC,stdWHC,06/23/21,R,L452R,,,0,0.51,0,,,15728,0,0623.stdWHC-1,,Negative,Composite,,,,C11,,
0623/stdWHC,stdWHC,06/23/21,R,E484Q,,,0,0.51,0,,,15728,0,0623.stdWHC-1,,Negative,Composite,,,,C11,,
0623/stdWHC,stdWHC,06/23/21,R,L452wt,,,60.72,66.97,54.48,,,15728,363,0623.stdWHC-1,,Positive,Composite,,,,C11,,
0623/stdWHC,stdWHC,06/23/21,R,E484wt,,,60.72,66.97,54.48,,,15728,363,0623.stdWHC-1,,Positive,Composite,,,,C11,,
0623/stdWHC,stdWHC,06/23/21,R,L452R,,,0,0.5,0,,,15951,0,0623.stdWHC-2,,Negative,Composite,,,,D11,,
0623/stdWHC,stdWHC,06/23/21,R,E484Q,,,0,0.5,0,,,15951,0,0623.stdWHC-2,,Negative,Composite,,,,D11,,
0623/stdWHC,stdWHC,06/23/21,R,L452wt,,,58.88,64.98,52.79,,,15951,358,0623.stdWHC-2,,Positive,Composite,,,,D11,,
0623/stdWHC,stdWHC,06/23/21,R,E484wt,,,58.88,64.98,52.79,,,15951,358,0623.stdWHC-2,,Positive,Composite,,,,D11,,
69th Street,69,06/21/21,R,L452R,,50,0.14,0.68,0.01,475.15,,18158,1,0621.69-1,1591.73,Negative,Composite,,,,E2,2269.53,19.96
69th Street,69,06/21/21,R,E484Q,,50,0,0.43,0,0,,18158,0,0621.69-1,2333.33,Negative,Composite,,,,E2,1423.69,0
69th Street,69,06/21/21,R,L452wt,,50,0,0.43,0,0,,18158,0,0621.69-1,1347.23,Negative,Composite,,,,E2,1423.69,0
69th Street,69,06/21/21,R,E484wt,,50,0,0.43,0,0,,18158,0,0621.69-1,1643.27,Negative,Composite,,,,E2,1423.69,0
69th Street,69,06/21/21,R,L452R,,50,0,0.42,0,0,,18354,0,0621.69-2,1591.73,Negative,Composite,,,,F2,1408.41,0
69th Street,69,06/21/21,R,E484Q,,50,0,0.42,0,0,,18354,0,0621.69-2,2333.33,Negative,Composite,,,,F2,1408.41,0
69th Street,69,06/21/21,R,L452wt,,50,0,0.42,0,0,,18354,0,0621.69-2,1347.23,Negative,Composite,,,,F2,1408.41,0
69th Street,69,06/21/21,R,E484wt,,50,0,0.42,0,0,,18354,0,0621.69-2,1643.27,Negative,Composite,,,,F2,1408.41,0
Almeda Sims,AS,06/21/21,R,L452R,,50,0,0.57,0,0,,13763,0,0621.AS-1,1591.73,Negative,Composite,,,,A3,1900.09,0
Almeda Sims,AS,06/21/21,R,E484Q,,50,0,0.57,0,0,,13763,0,0621.AS-1,2333.33,Negative,Composite,,,,A3,1900.09,0
Almeda Sims,AS,06/21/21,R,L452wt,,50,9.31,12.17,6.93,31016.95,,13763,49,0621.AS-1,1347.23,Positive,Composite,,,,A3,40571.1,23100.2
Almeda Sims,AS,06/21/21,R,E484wt,,50,9.31,12.17,6.93,31016.95,,13763,49,0621.AS-1,1643.27,Positive,Composite,,,,A3,40571.1,23100.2
Almeda Sims,AS,06/21/21,R,L452R,,50,0,0.5,0,0,,15486,0,0621.AS-2,1591.73,Negative,Composite,,,,B3,1673.6,0
Almeda Sims,AS,06/21/21,R,E484Q,,50,0,0.5,0,0,,15486,0,0621.AS-2,2333.33,Negative,Composite,,,,B3,1673.6,0
Almeda Sims,AS,06/21/21,R,L452wt,,50,0.17,0.8,0.01,558.54,,15486,1,0621.AS-2,1347.23,Negative,Composite,,,,B3,2667.9,23.46
Almeda Sims,AS,06/21/21,R,E484wt,,50,0.17,0.8,0.01,558.54,,15486,1,0621.AS-2,1643.27,Negative,Composite,,,,B3,2667.9,23.46
Beltway,BW,06/21/21,R,L452R,,50,0,0.48,0,0,,16070,0,0621.BW-1,1591.73,Negative,Composite,,,,C3,1616.15,0
Beltway,BW,06/21/21,R,E484Q,,50,0,0.48,0,0,,16070,0,0621.BW-1,2333.33,Negative,Composite,,,,C3,1616.15,0
Beltway,BW,06/21/21,R,L452wt,,50,9.37,12,7.15,31227.7,,16070,58,0621.BW-1,1347.23,Positive,Composite,,,,C3,40002.55,23845.07
Beltway,BW,06/21/21,R,E484wt,,50,9.37,12,7.15,31227.7,,16070,58,0621.BW-1,1643.27,Positive,Composite,,,,C3,40002.55,23845.07
Beltway,BW,06/21/21,R,L452R,,50,0.16,0.78,0.01,545.3,,15886,1,0621.BW-2,1591.73,Negative,Composite,,,,D3,2604.66,22.9
Beltway,BW,06/21/21,R,E484Q,,50,0,0.49,0,0,,15886,0,0621.BW-2,2333.33,Negative,Composite,,,,D3,1633.92,0
