Facility,WWTP,Date,Lab,Target_Name,Received_WW_vol,Filtered_WW_vol,Copies_per_uL_RNA,PoissonConfMax_per_uL_RNA,PoissonConfMin_per_uL_RNA,Copies_Per_Liter_WW,Ct,AcceptedDroplets,PositiveDroplets,Sample_ID,Detection_Limit,Positivity,Sample_Type,Surrogate_virus_input_per.L.WW,Percentage_recovery_BCoV,Comments,Well Position,PoissonConfMax_Per_Liter_WW,PoissonConfMin_Per_Liter_WW
0707/NTC,NTC,07/07/21,R,E484 wild-type,,,0,0.45,0,,,17254,0,0707.NTC-4,,Negative,Composite,,,,D12,,
0707/NTC,NTC,07/07/21,R,417T,,,0,0.45,0,,,17254,0,0707.NTC-4,,Negative,Composite,,,,D12,,
0707/NTC,NTC,07/07/21,R,K417 wild-type,,,0,0.45,0,,,17254,0,0707.NTC-4,,Negative,Composite,,,,D12,,
0707/NTC,NTC,07/07/21,R,417N,,,0,0.45,0,,,17254,0,0707.NTC-4,,Negative,Composite,,,,D12,,
0707/NTC,NTC,07/07/21,R,484K,,,0,0.46,0,,,16852,0,0707.NTC-5,,Negative,Composite,,,,E12,,
0707/NTC,NTC,07/07/21,R,E484 wild-type,,,0,0.46,0,,,16852,0,0707.NTC-5,,Negative,Composite,,,,E12,,
0707/NTC,NTC,07/07/21,R,417T,,,0,0.46,0,,,16852,0,0707.NTC-5,,Negative,Composite,,,,E12,,
0707/NTC,NTC,07/07/21,R,K417 wild-type,,,0,0.46,0,,,16852,0,0707.NTC-5,,Negative,Composite,,,,E12,,
0707/NTC,NTC,07/07/21,R,417N,,,0,0.46,0,,,16852,0,0707.NTC-5,,Negative,Composite,,,,E12,,
0707/NTC,NTC,07/07/21,R,484K,,,0,0.42,0,,,18696,0,0707.NTC-6,,Negative,Composite,,,,F12,,
0707/NTC,NTC,07/07/21,R,E484 wild-type,,,0,0.42,0,,,18696,0,0707.NTC-6,,Negative,Composite,,,,F12,,
0707/NTC,NTC,07/07/21,R,417T,,,0,0.42,0,,,18696,0,0707.NTC-6,,Negative,Composite,,,,F12,,
0707/NTC,NTC,07/07/21,R,K417 wild-type,,,0,0.42,0,,,18696,0,0707.NTC-6,,Negative,Composite,,,,F12,,
0707/NTC,NTC,07/07/21,R,417N,,,0,0.42,0,,,18696,0,0707.NTC-6,,Negative,Composite,,,,F12,,
0707/NTC,NTC,07/07/21,R,484K,,,0,0.49,0,,,15858,0,0707.NTC-7,,Negative,Composite,,,,G12,,
0707/NTC,NTC,07/07/21,R,E484 wild-type,,,0,0.49,0,,,15858,0,0707.NTC-7,,Negative,Composite,,,,G12,,
0707/NTC,NTC,07/07/21,R,417T,,,0,0.49,0,,,15858,0,0707.NTC-7,,Negative,Composite,,,,G12,,
0707/NTC,NTC,07/07/21,R,K417 wild-type,,,0,0.49,0,,,15858,0,0707.NTC-7,,Negative,Composite,,,,G12,,
0707/NTC,NTC,07/07/21,R,417N,,,0,0.49,0,,,15858,0,0707.NTC-7,,Negative,Composite,,,,G12,,
0707/NTC,NTC,07/07/21,R,484K,,,0,0.44,0,,,17600,0,0707.NTC-8,,Negative,Composite,,,,H12,,
0707/NTC,NTC,07/07/21,R,E484 wild-type,,,0,0.44,0,,,17600,0,0707.NTC-8,,Negative,Composite,,,,H12,,
0707/NTC,NTC,07/07/21,R,417T,,,0,0.44,0,,,17600,0,0707.NTC-8,,Negative,Composite,,,,H12,,
0707/NTC,NTC,07/07/21,R,K417 wild-type,,,0,0.44,0,,,17600,0,0707.NTC-8,,Negative,Composite,,,,H12,,
0707/NTC,NTC,07/07/21,R,417N,,,0,0.44,0,,,17600,0,0707.NTC-8,,Negative,Composite,,,,H12,,
0707/stdBJ,stdBJ,07/07/21,R,484K,,,0,0.53,0,,,15038,0,0707.stdBJ-1,,Negative,Composite,,,,C11,,
0707/stdBJ,stdBJ,07/07/21,R,E484 wild-type,,,0,0.53,0,,,15038,0,0707.stdBJ-1,,Negative,Composite,,,,C11,,
0707/stdBJ,stdBJ,07/07/21,R,417T,,,0,0.53,0,,,15038,0,0707.stdBJ-1,,Negative,Composite,,,,C11,,
0707/stdBJ,stdBJ,07/07/21,R,K417 wild-type,,,0,0.53,0,,,15038,0,0707.stdBJ-1,,Negative,Composite,,,,C11,,
0707/stdBJ,stdBJ,07/07/21,R,417N,,,0,0.53,0,,,15038,0,0707.stdBJ-1,,Negative,Composite,,,,C11,,
0707/stdBJ,stdBJ,07/07/21,R,484K,,,0,0.52,0,,,15357,0,0707.stdBJ-2,,Negative,Composite,,,,D11,,
0707/stdBJ,stdBJ,07/07/21,R,E484 wild-type,,,0,0.52,0,,,15357,0,0707.stdBJ-2,,Negative,Composite,,,,D11,,
0707/stdBJ,stdBJ,07/07/21,R,417T,,,0,0.52,0,,,15357,0,0707.stdBJ-2,,Negative,Composite,,,,D11,,
0707/stdBJ,stdBJ,07/07/21,R,K417 wild-type,,,0,0.52,0,,,15357,0,0707.stdBJ-2,,Negative,Composite,,,,D11,,
0707/stdBJ,stdBJ,07/07/21,R,417N,,,0,0.52,0,,,15357,0,0707.stdBJ-2,,Negative,Composite,,,,D11,,
0707/stdMix,stdMix,07/07/21,R,484K,,,0,0.54,0,,,16235,0,0707.stdMix-1,,Negative,Composite,,,,G11,,
0707/stdMix,stdMix,07/07/21,R,E484 wild-type,,,0,0.54,0,,,16235,0,0707.stdMix-1,,Negative,Composite,,,,G11,,
0707/stdMix,stdMix,07/07/21,R,417T,,,0,0.54,0,,,16235,0,0707.stdMix-1,,Negative,Composite,,,,G11,,
0707/stdMix,stdMix,07/07/21,R,K417 wild-type,,,0,0.54,0,,,16235,0,0707.stdMix-1,,Negative,Composite,,,,G11,,
0707/stdMix,stdMix,07/07/21,R,417N,,,0,0.54,0,,,16235,0,0707.stdMix-1,,Negative,Composite,,,,G11,,
0707/stdMix,stdMix,07/07/21,R,484K,,,0,0.49,0,,,17649,0,0707.stdMix-2,,Negative,Composite,,,,H11,,
0707/stdMix,stdMix,07/07/21,R,E484 wild-type,,,0,0.49,0,,,17649,0,0707.stdMix-2,,Negative,Composite,,,,H11,,
0707/stdMix,stdMix,07/07/21,R,417T,,,0,0.49,0,,,17649,0,0707.stdMix-2,,Negative,Composite,,,,H11,,
0707/stdMix,stdMix,07/07/21,R,K417 wild-type,,,0,0.49,0,,,17649,0,0707.stdMix-2,,Negative,Composite,,,,H11,,
0707/stdMix,stdMix,07/07/21,R,417N,,,0,0.49,0,,,17649,0,0707.stdMix-2,,Negative,Composite,,,,H11,,
0707/stdSA,stdSA,07/07/21,R,484K,,,0,0.49,0,,,16297,0,0707.stdSA-1,,Negative,Composite,,,,E11,,
0707/stdSA,stdSA,07/07/21,R,E484 wild-type,,,0,0.49,0,,,16297,0,0707.stdSA-1,,Negative,Composite,,,,E11,,
0707/stdSA,stdSA,07/07/21,R,417T,,,0,0.49,0,,,16297,0,0707.stdSA-1,,Negative,Composite,,,,E11,,
0707/stdSA,stdSA,07/07/21,R,K417 wild-type,,,0,0.49,0,,,16297,0,0707.stdSA-1,,Negative,Composite,,,,E11,,
